id;COT Carbone Organique Total;Antimoine (Sb);Arsenic (As);Baryum (Ba);Cadmium (Cd);Chrome (Cr);Cuivre (Cu);Mercure (Hg);Molybdene (Mo);Nickel (Ni);Plomb (Pb);Selenium (Se);Zinc (Zn);Benzo(a)pyrene;HAP (EPA) - somme;BTEX total;Hydrocarbures totaux C10-C40;Somme 6 PCB;Somme 7 PCB (Ballschmiter);Antimoine cumule (var. L/S);Arsenic cumule (var. L/S);Baryum cumule (var. L/S);Cadmium cumule (var. L/S);Chrome cumule (var. L/S);Cuivre cumule (var. L/S);Mercure cumule  (var. L/S);Molybdene cumule (var. L/S);Nickel cumule (var. L/S);Plomb cumule (var. L/S);Selenium cumule (var. L/S);Zinc cumule (var. L/S);Chlorures cumule  (var. L/S );COT cumule (var. L/S);Fluorures cumule  (var. L/S);Fraction soluble cumule  (var. L/S);Indice  phenol cumule (var. L/S);Sulfates cumule (var. L/S);Filiere d'evacuation resultats bruts;Filiere d'evacuation resultats lixiviation;Filiere d'evacuation finale;sam_ctime;sam_comment;ctx_name;ctx_ouvrage;ctx_timestamp;ctx_x;ctx_y;ctx_z;ctx_tech_depth_high;ctx_tech_depth_low;g;ctx_barcode;ctx_pid;real_tech_depth;elements_declassant;pred_glm_moy_Zn_ XRF;pred_glm_med_Zn_ XRF;pred_glm_30p_Zn_ XRF;pred_glm_70p_Zn_ XRF;pred_glm_moy_che_conduc_new;pred_glm_med_che_conduc_new;pred_glm_30p_che_conduc_new;pred_glm_70p_che_conduc_new;pred_glm_moy_ch_chlorure_new;pred_glm_med_ch_chlorure_new;pred_glm_30p_ch_chlorure_new;pred_glm_70p_ch_chlorure_new;pred_glm_moy_che_fluorures_new;pred_glm_med_che_fluorures_new;pred_glm_30p_che_fluorures_new;pred_glm_70p_che_fluorures_new;pred_glm_moy_S_ XRF;pred_glm_med_S_ XRF;pred_glm_30p_S_ XRF;pred_glm_70p_S_ XRF;pred_glm_moy_Cl_ XRF;pred_glm_med_Cl_ XRF;pred_glm_30p_Cl_ XRF;pred_glm_70p_Cl_ XRF;pred_glm_moy_Pb_ XRF;pred_glm_med_Pb_ XRF;pred_glm_30p_Pb_ XRF;pred_glm_70p_Pb_ XRF;pred_glm_moy_Cu_ XRF;pred_glm_med_Cu_ XRF;pred_glm_30p_Cu_ XRF;pred_glm_70p_Cu_ XRF;pred_glm_moy_Cr_ XRF;pred_glm_med_Cr_ XRF;pred_glm_30p_Cr_ XRF;pred_glm_70p_Cr_ XRF;pred_glm_moy_Ba_ XRF;pred_glm_med_Ba_ XRF;pred_glm_30p_Ba_ XRF;pred_glm_70p_Ba_ XRF;pred_glm_moy_As_ XRF;pred_glm_med_As_ XRF;pred_glm_30p_As_ XRF;pred_glm_70p_As_ XRF;pred_glm_moy_Ni_ XRF;pred_glm_med_Ni_ XRF;pred_glm_30p_Ni_ XRF;pred_glm_70p_Ni_ XRF;pred_glm_moy_Se_ XRF;pred_glm_med_Se_ XRF;pred_glm_30p_Se_ XRF;pred_glm_70p_Se_ XRF;che_sulfates_comp_trees;ch_chlorure_comp_trees;ch_ph_comp_trees;S_ XRF_comp_trees;Mo_ XRF_comp_trees;Sb_ XRF_comp_trees;Ba_ XRF_comp_trees;Se_ XRF_comp_trees;Cl_ XRF_comp_trees
0603P_TE01_69.49-68.99;6600;<0.5;2.1;96;<0.1;18.0;7.5;<0.05;<1.0;7;3.2;<1.0;20;<0.050;n.d.;n.d.;<20.0;n.d.;n.d.;0 - 0.05;0 - 0.05;0.48;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;39;0 - 10;14;1400;0 - 0.1;470;ISDI;ISDI+;ISDI+;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;69.49;68.99;R;AG2582967M;0.0;Carrotier;Fluorures cumule  (var. L/S);13.692790653280618;13.623844413616586;12.13627624693878;15.205468716463482;599.4768072864746;600.1381788880109;539.0609481723873;659.2222294632836;339303.46990773565;2.1658802961615287;1.1309594314524165;4.948641313320636;1.305648578428163;1.2809354390639818;0.7179095172112234;1.8371486587961987;27.28883059324148;0.9244910348564614;0.2176782630884318;3.838516175614159;2.583403647783442e+25;11.641527730694106;2.638700419404727;28.917255374590553;104.35052103779259;1.2655843710033432;0.7660687834948934;2.451185413577204;105.64515345795824;6.476482033669416;3.79767222219208;11.294109507826152;11.043364248525574;4.233312431292504;2.396302267798037;7.262733431763685;54.52259657182394;39.24672534635263;27.00567566645391;57.492350916292885;2.249385695934888;2.2692763609421966;1.576475102641879;2.944141786992629;5.685879562817598;5.736760197718648;4.414045464092641;6.959570035605746;1.7199358940260363;1.0065152441595842;0.5112085273845504;1.6472082113228663;51.0;4.666666666666667;7.436666666666667;854.9958;0.5598429833333333;0.5376200000000001;6.712999999999999;0.3001333333333333;561.62
0603P_TE01_68.99-68.49;1600;<0.5;4.2;130;0.1;25.0;8.2;<0.05;<1.0;11;4;<1.0;28;<0.050;n.d.;n.d.;<20.0;n.d.;n.d.;0 - 0.05;0 - 0.05;0.48;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.08;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;24;0 - 10;15;1000;0 - 0.1;470;ISDI;ISDI+;ISDI+;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;68.99;68.49;R;AG2582962H;0.0;Carrotier;Fluorures cumule  (var. L/S);17.26624372298201;17.145741979671456;15.241497622179587;19.278375625119384;451.22216027920683;452.83538218383535;391.538488376293;511.14323718966614;15140499.054472972;1.9591089359807472;1.0409969613247714;4.327162612451091;1.4261286949478147;1.4063330152175628;0.8830824587927646;1.973891580376916;28.988187074591746;0.35112183049947704;0.0590508901695257;1.7304491620744198;6.076683708287104e+27;30.99049246380709;7.871313650285855;91.66789176374044;32.68988073920563;1.5200895455579042;0.8692337887405648;3.1629318606552648;94.46372676266908;9.094499942960963;5.07745982744753;15.960222223228257;27.518175182994927;5.5266228904831465;3.1480875317635877;9.51426417119598;70.71559507671589;51.2745400972145;32.27352529111537;78.6288297830453;3.392064119086266;3.3529387095239493;2.631258140481763;4.073961487339666;6.974894900507418;6.8977363299733225;5.542073916210893;8.41275934792009;1.6088260844132019;0.9968864062585632;0.505746805900952;1.7228689078170114;23.66666666666667;4.666666666666667;7.6;854.9958;0.4895;0.19243333333333326;84.16666666666667;0.3001333333333333;561.62
0603P_TE01_68.49-67.99;16000;0.6;2.8;180;<0.1;2.5;2.3;<0.05;<1.0;6.4;2.2;<1.0;5.4;<0.050;n.d.;n.d.;<20.0;n.d.;n.d.;0 - 0.05;0 - 0.05;0.27;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;24;0 - 10;10;3000;0 - 0.1;1900;ISDI;ISDI;ISDI;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;68.49;67.99;R;AG2582973J;0.0;Carrotier; ;9.228580592471596;9.236147481583293;7.770624881232983;10.60445926937284;532.1846472727535;532.1118846584632;492.1278771399434;573.2499375019623;3336.866175100214;1.4163928261573406;0.7799091557675869;2.7929150644853413;0.8629994684492209;0.8916923109241129;0.32659262875230577;1.4381008420849963;141.32323325218218;14.463941275593744;4.682623701426077;46.14081079604533;4.409730834888283e+41;32.71070666477468;7.6388900847675165;83.83049627401286;172.627513992129;1.3693542610736351;0.8025874031247491;2.5757411837358326;6.297240429565593;2.8781742596291293;1.5556655445807024;5.0740909143988935;8.064522013557688;2.3522997605614897;1.344299566546984;3.9548264826983854;123.84689634243172;98.29898137671611;62.04348798981461;142.35253454320542;2.3446116819923435;2.3622881182056603;1.7016727777411869;3.0458014571127205;6.772455907474588;6.686683990390812;5.408580475230689;8.066900571496019;2.191676633110162;1.3640077606884626;0.7795244681549506;2.2124971926593435;100.0;4.666666666666667;7.215;16364.333333333336;0.0;0.9249230666666666;48.8525;1.1142;590.98
0603P_TE01_67.99-67.49;7700;<0.5;2;170;<0.1;9.2;5.6;<0.05;<1.0;7.3;2;<1.0;15;<0.050;n.d.;n.d.;43.7;n.d.;n.d.;0 - 0.05;0 - 0.05;0.33;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;23;0 - 10;10;2100;0 - 0.1;1400;ISDI;ISDI;ISDI;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;67.99;67.49;R;AG2582961G;0.0;Carrotier; ;7.999729731208947;7.946255082042057;6.8690009907770015;9.03990062406904;417.55020987797445;416.8525884659507;376.2346824485546;460.99468484407294;2189.8761467808968;1.2895397862672335;0.7216341416629015;2.4312529087306425;0.8701410238114916;0.8799232788899087;0.3072754230228606;1.4233965542241866;1.5540318060905611;0.3642079164095454;0.14208505122273252;0.9330781948840908;3.663263310623449e+29;5.692673495720728;1.4636499355518628;14.350528118118156;84.13418199411056;1.1742708980651189;0.7160050149787855;2.160582267413864;9.374705570360938;4.778638581656449;2.6826858399649685;7.8851670347066305;12.154459690077665;3.2823365541130327;1.8486238496007497;5.442632208004751;64.08743292886835;47.839441494269884;31.74942284682727;69.47138002012699;1.5686966968481644;1.5844779528094022;0.9638748223632478;2.1598130102820168;5.230667208895621;5.231764845759092;4.353284530014707;6.057437713586648;4.910570951180581;0.9006858813457608;0.4565720218828841;1.5488545152219635;90.0;4.666666666666667;7.215;2217.499;0.0;0.9249230666666666;156.84976057142856;1.3025333333333329;590.98
0603P_TE01_67.49-66.99;2700;1.2;1.9;72;<0.1;2.6;3.4;<0.05;<1.0;2.3;4.1;<1.0;23;<0.050;n.d.;n.d.;67.6;n.d.;n.d.;0 - 0.05;0 - 0.05;0.36;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0.02;23;0 - 10;6;22000;0 - 0.1;14000;ISDI;SEMPIN;SEMPIN;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;67.49;66.99;R;AG2582968N;0.0;Carrotier;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S);21.69960167210753;21.678269490664572;17.534529794981857;25.724215815652393;2324.2518469287465;2324.6201948042644;2194.9809823357496;2449.603021287161;9096888.43959166;2.6936595831208776;1.263116245543194;6.644732703673954;0.5684660732591904;0.5776429215173505;0.023179421354019392;1.1405653640627893;637657.4186779588;20.750574317160048;0.9344139709947592;350.6801152494126;2.3904420746918297e+40;291.42782494512693;49.536978689250404;899.1706233973077;450.972487090868;2.2664220777664226;1.1186301774797058;5.180243979164668;48.9012525755257;10.581567388091827;4.237366287113963;23.751330167758532;5.3113652597346785;1.859295757676818;1.0334468031999564;3.186724670130891;22.23078064986784;12.401753764694348;6.302722257739087;23.09834764270096;3.8136763872116366;3.7930766997589362;2.4934424229266177;5.118336383134043;3.74212898839878;3.8338330353160295;1.5085863521558778;6.169797144553586;2.204673494651465;1.3133236794549494;0.7233617989436791;2.1195171713406373;116.2;4.666666666666667;7.155;396600.0;0.34304;0.8062666666666667;1202.87;0.6586333333333334;503.6333333333334
0603P_TE01_66.99-66.49;<1000;<0.5;<1.0;17;<0.1;1.8;1.1;<0.05;<1.0;1.3;1.1;<1.0;3.9;<0.050;n.d.;n.d.;<20.0;n.d.;n.d.;0 - 0.05;0 - 0.05;0.65;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;19;0 - 10;5;23000;0 - 0.1;16000;ISDI;SEMPIN;SEMPIN;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;66.99;66.49;MPH;AG2582975L;0.0;Carrotier;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S);-0.02137326416161596;-0.04308448909722225;-1.6006270936649791;1.6495486630794676;2011.0305023132687;2013.9383398230505;1794.0961346203094;2224.0466020748872;230683.63209988922;8.211643230798447;3.2591380006859554;27.83627304331798;0.4314774530315351;0.4659615223340453;-0.12006023152687352;0.9717697684239841;45315.70615166945;1035.4715996056746;196.51809294835388;5117.542222601095;2.489639526125841e+41;2.9048974031521344;0.941290298324768;7.048000547077082;12.483516590387097;1.064389683905505;0.6523307256372334;2.020903589259367;13.729534426379221;1.6126325649922038;0.8971800633398012;2.7998616724906342;18.199409097242945;7.87847136788295;4.247115950421341;13.846467312135243;9.086560959785842;5.312325989993373;3.31844995308774;8.141680884908038;0.9583507590439696;0.9830049796355044;0.3881389898568998;1.5280141021644873;2.2569438012864222;2.2554219390132646;1.5800876827093808;2.942917384626768;1.5814920393378271;0.9507984491181812;0.4881743337293447;1.6506405909805577;116.2;4.666666666666667;7.155;396600.0;0.34304;0.40693333333333337;1202.87;0.8305;503.6333333333334
0603P_TE01_63.99-63.49;<1000;0.6;1.1;15;<0.1;2.3;2.9;<0.05;<1.0;2;1.1;<1.0;4.6;<0.050;n.d.;n.d.;<20.0;n.d.;n.d.;0 - 0.05;0 - 0.05;0.49;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;21;21;3;23000;0 - 0.1;15000;ISDI;SEMPIN;SEMPIN;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;63.99;63.49;MPH;AG2582972I;0.0;Carrotier;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S);1.9926176178304809;2.0498846073923453;0.4176988015470966;3.682700466004702;2272.227636970179;2272.9714694393037;2121.6799562143115;2420.3966071044;22923.264411684853;4.401603977031146;1.9508737657532642;12.654129137972095;0.21677344692479134;0.2006111993390461;-0.3657002473122251;0.7681519717815767;23481.066377520085;1893.4691568469784;547.1780013508694;6356.998689260778;1.4764178472866445e+23;21.889238002921726;4.526743026158098;60.47434977522218;314.2768024252664;1.1653500265314332;0.7204280862632387;2.2015755328614475;10.776554683669998;1.822836406403232;1.0480327232025102;2.977002430442372;24.206079367947996;8.826471585002428;4.898776500625584;16.2292043410303;5.808984788776788;3.134322601618824;1.9974230846872;4.909550267016941;1.2965365293232671;1.3073726615855064;0.7187749160167975;1.8635440197152653;1.9714511219789173;1.94629615751811;1.2753657597379375;2.700926583666956;1.5948035921629296;0.7486864301581567;0.4089241676849292;1.3179098084473515;116.2;4.666666666666667;7.155;396600.0;0.34304;0.19243333333333326;1202.87;1.1142;503.6333333333334
0603P_TE01_63.49-62.99;1400;0.9;1.8;87;0.1;4.3;2.8;<0.05;<1.0;5.1;2.4;<1.0;8.3;<0.050;n.d.;n.d.;<20.0;n.d.;n.d.;0 - 0.05;0 - 0.05;0.36;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;22;0 - 10;6;22000;0 - 0.1;14000;ISDI;SEMPIN;SEMPIN;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;63.49;62.99;MPH;AG2582963I;0.0;Carrotier;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S);8.530996111964384;8.578400647619054;7.094780937320106;10.062373942886094;2319.040802672157;2318.373752618861;2188.985423461555;2444.064147664921;2256083.6549451705;4.275675885900187;1.888678065785221;13.76100774644598;0.5677433628321613;0.5827816926107309;0.02372980444867833;1.1496833660716852;18504.869454199576;2975.1211881273052;1035.996571200623;9499.0289724779;2.8427672314295455e+37;82.30805051739084;18.601973307025567;249.88849435597595;45.783394454972324;1.4907123058284768;0.8702563531360491;3.045461842248043;10.08607413132074;2.68752283804874;1.5106330965206332;4.499795327081371;962.9992722914147;11.169691249373995;6.2620054602844295;19.24578098279124;31.13278891405141;21.94709536617439;14.393647967211072;32.823942482571375;2.3820064030441825;2.374743347253303;1.7501997056310477;2.968101011992766;4.892168898685659;4.8664283480842405;3.9877543710376333;5.808813476161365;2.035235442774762;1.3109063581571954;0.7443471182890521;2.1078921264478807;116.2;4.666666666666667;7.155;396600.0;0.34304;0.8062666666666667;1202.87;1.1142;503.6333333333334
0603P_TE01_62.99-62.49;<1000;<0.5;1.7;36;0.2;4.8;4.2;<0.05;<1.0;3.9;2.8;<1.0;14;<0.050;n.d.;n.d.;<20.0;n.d.;n.d.;0 - 0.05;0 - 0.05;0.25;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0.06;0 - 0.05;0 - 0.05;0 - 0.02;16;0 - 10;8;22000;0 - 0.1;15000;ISDI;SEMPIN;SEMPIN;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;62.99;62.49;MPH;AG2582960F;0.0;Carrotier;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S);7.036053972807478;6.972731475133027;4.962772094545064;9.011348854766718;2043.2334790520224;2043.3850506297385;1864.931633654672;2228.3286709481567;19554.549477892808;7.502906305799514;2.8376328382203333;23.256958474084115;0.7507961033969094;0.7749801964889254;0.2043000498935653;1.3189171939340838;13402.109901158294;201.64982503824487;36.69245519857126;1220.942121518044;7.658428629292471e+36;3.3023444584730486;0.8610858633265333;8.000342433578183;108.04559425140886;1.3018066328509261;0.7489236325303631;2.7005627222305075;21.517624776956335;3.983627880134221;2.1077845654993705;7.1374797406633546;25.117122907664147;12.447046353608876;6.935753627630596;22.07786181608017;17.516115820504606;12.322594136619141;7.534300704788699;19.068278580279397;2.0580899582195693;2.0565030624158744;1.3631528156004808;2.809644477659724;4.5448526031339975;4.480645607774957;3.4669958489597237;5.572514556015363;2.112776679631593;1.237957030390147;0.6977244271857066;2.0011394147070174;33.300000000000004;8.71;6.996666666666667;10236.4;0.8888333333333334;1.1333666666666666;41.5275;3.2111771;338.4492
0603P_TE01_62.49-61.99;<1000;<0.5;<1.0;34;<0.1;2.3;1.3;<0.05;<1.0;1.8;1.5;<1.0;5.2;<0.050;n.d.;n.d.;<20.0;n.d.;n.d.;0 - 0.05;0 - 0.05;0.45;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;29;0 - 10;6;23000;0 - 0.1;15000;ISDI;SEMPIN;SEMPIN;1,55E+12;;0603P_TE_01;0603P_TE_01;2019-03-13T11:23:32.000Z;1668742.83630639;8187648.85048895;70.48899999999998;62.49;61.99;MPH;AG2582956K;0.0;Carrotier;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S);1.6147938612193369;1.6835304607806787;0.009332392816953824;3.2484195727852456;2338.236782044189;2339.023759434168;2191.331663198909;2484.621926682789;238942.0164593263;6.435980935753308;2.4180037535476444;20.342475808756557;0.5980136638250411;0.5895370141847109;0.029890312439393264;1.1153800511550194;31477.614926244667;2101.764011075821;583.5594710056395;7422.9490981541785;1.4391139533367375e+41;4.806127436648916;1.2226547146296256;11.870142803694119;69.96773651962425;1.092235766684329;0.6722185250178982;2.0244496310132885;7.333034194190844;1.979798162533368;1.1319149594690538;3.4220456473649974;39.31169461225596;8.637261596390706;4.766679880912871;15.336591353060165;16.98545510029527;9.239041241601935;5.8115361752239725;13.832168050942053;1.113104154476776;1.114007819677318;0.5191307519872466;1.7001119851134767;2.9670331747453482;2.9470010202992616;2.205151812044368;3.6860838361044816;1.8159112430591131;1.1274987569701866;0.6067757539568405;1.860943672956535;116.2;4.666666666666667;7.155;396600.0;2.1095900125;0.19243333333333326;1202.87;1.1142;503.6333333333334
