id;COT Carbone Organique Total;Antimoine (Sb);Arsenic (As);Baryum (Ba);Cadmium (Cd);Chrome (Cr);test;Cuivre (Cu);Mercure (Hg);Molybdene (Mo);Nickel (Ni);Plomb (Pb);Selenium (Se);Zinc (Zn);Benzo(a)pyrene;HAP (EPA) - somme;BTEX total;Hydrocarbures totaux C10-C40;Somme 6 PCB;Somme 7 PCB (Ballschmiter);ctx_lith;g_MC;g_SB;g_SO;g_TB;g_MA;g_MPH;g_MFL;g_GV;Cyanures totaux cumule ;Soufre (S);Temperature;PH;Sulfate mg/l;Chlorure mg/l;Fluorures mg/l;Antimoine cumule (var. L/S);Arsenic cumule (var. L/S);Baryum cumule (var. L/S);Cadmium cumule (var. L/S);Chrome cumule (var. L/S);Cuivre cumule (var. L/S);Mercure cumule  (var. L/S);Molybdene cumule (var. L/S);Nickel cumule (var. L/S);Plomb cumule (var. L/S);Selenium cumule (var. L/S);Zinc cumule (var. L/S);COT cumule (var. L/S);Fluorures cumule  (var. L/S);Chlorures cumule  (var. L/S );Fraction soluble cumule  (var. L/S);Indice  phenol cumule (var. L/S);Sulfates cumule (var. L/S);che_lixi-tps;che_conduc;ch_ph;che_sulfates;ch_chlorure;che_fluorures;che_conduc_new;ch_ph_new;che_sulfates_new;ch_chlorure_new;che_fluorures_new;S_ XRF;Zn_ XRF;Cl_ XRF;Pb_ XRF;Cu_ XRF;Cr_ XRF;Ba_ XRF;As_ XRF;Sb_ XRF;Ni_ XRF;Mo_ XRF;Se_ XRF;Filiere d'evacuation resultats bruts;Filiere d'evacuation resultats lixiviation;Filiere d'evacuation finale;elements_declassant
003-L16-2-SC01-CMF-11m;<1000;<0.5;6.5;140;<0.1;49;326.5;8.6;<0.05;<1.0;36;8.9;<1.0;69;<0.050;0.37;n.a.;<20.0;n.a.;n.a.;TB;0;0;0;1;0;0;0;0;0 - 0.01;3600;19.6;7.66;72;9.67;0.887;0 - 0.05;0 - 0.05;1;0 - 0.001;0.02;0.08;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;1.3;0 - 0.02;25;17;12;0 - 1000;0 - 0.1;130;10;615;7.66;72;9.67;0.887;711;7.38;125;3.3;0.904;0.001;24.01;534.2;6.059;9.99;9.463;72.29;4.291;0.3527;15.24;0.161;1.251;TN+;TN+;TN+;Selenium cumule (var. L/S)
004-L16-2-SC08-CMF-9M;2300;1.2;<1.0;12;0.1;8;23.6;4.2;<0.05;<1.0;3.9;1.9;<1.0;9.2;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;TB;0;0;0;1;0;0;0;0;0 - 0.01;2100;19.4;7.38;38;4.77;0.376;0 - 0.05;0 - 0.05;0 - 0.1;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;12;4;15;0 - 1000;0 - 0.1;120;10;294;7.38;38;4.77;0.376;351;7.59;41;2.04;0.35;0.001;17.15;466.1;1.997;2.493;1.997;2.494;3.61;1.195;6.354;0.396;0.9743;ISDI;ISDI;ISDI; 
005-L16-2-SC07-CMF-9.5-10m;1200;<0.5;4;18;<0.1;5.2;22.2;6;<0.05;<1.0;4.5;3.5;1.7;12;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;TB;0;0;0;1;0;0;0;0;0 - 0.01;1500;20;7.74;30;5.1;0.541;0 - 0.05;0 - 0.05;0 - 0.1;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;5;35;1100;0 - 0.1;130;10;174;7.74;30;5.1;0.541;307;7.57;32;4.13;0.437;52450.0;26.54;438.7;1034;17.4;16.55;72.13;6.344;0.511;17.8;0.001;0.512;ISDI;ISDI;ISDI; 
006-L16-2-SC12-CMF-24M;8900;<0.5;10;320;<0.1;13;649;9.3;<0.05;4.1;14;6;<1.0;22;<0.050;n.a.;n.a.;71.2;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;25000;20;7.07;102;8.05;1.2;0 - 0.05;0 - 0.05;0.4;0 - 0.001;0 - 0.02;0 - 0.02;0.0004;0.17;0.07;0 - 0.05;0 - 0.05;0 - 0.02;82;7;280;13000;0 - 0.1;7000;10;3640;7.07;102;8.05;1.2;2960;7.64;131;4.06;0.511;48520;27.83;319.5;10.19;17.15;15.74;104.7;10.03;0.5;20.61;1.85;0.515;TN+;SEMPIN;TN+;Molybdene (Mo)
"007-L16-2-SC06-CMF-32;4M";3400;0.6;11;160;0.2;17;318.5;11;<0.05;2.6;15;9.1;<1.0;24;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;12000;19.5;7.22;105;7.41;1.8;0 - 0.05;0 - 0.05;0.34;0 - 0.001;0 - 0.02;0.03;0 - 0.0003;0.16;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;170;14;66;17000;0 - 0.1;8300;10;1834;7.22;105;7.41;1.8;2870;7.08;163;6.4;1.86;23460;21.26;472.3;6.076;8.72;7.57;174.5;7.27;0.7612;18.46;2.17;0.355;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
008-L16-2-SC06-CMF-33M;3800;0.8;8.7;250;<0.1;12;516;11;<0.05;<1.0;18;6.8;<1.0;26;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;14000;19.4;7.2;118;10.7;1.89;0 - 0.05;0 - 0.05;0.25;0 - 0.001;0 - 0.02;0 - 0.02;0.0007;0.06;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;51;16;300;18000;0 - 0.1;11000;10;2500;7.2;118;10.7;1.89;2520;7.13;176;11.3;1.69;10540;22.76;451.6;5.874;8.702;10.24;206.9;7.789;0.578;26.55;1.31;0.1881;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
009-L16-2-SC06-CMF-37M;1200;1.4;2.8;13;<0.1;4.1;16.4;4.8;<0.05;<1.0;4;3.5;<1.0;8.1;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;2000;19.6;7.42;56;20.7;2;0 - 0.05;0 - 0.05;0 - 0.1;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;0 - 10;5;43;0 - 1000;0 - 0.1;140;10;549;7.42;56;20.7;2;368;7.3;53;6.85;0.522;0.001;17.78;619.1;3.698;7.0796;5.588;331.4;3.22;0.698298;0.001;1.31;2.092;ISDI;ISDI;ISDI; 
"010-L16-2-SC06-CMF-30;9m";2900;<0.5;7;140;0.1;18;289;9.6;<0.05;<1.0;17;7.2;<1.0;29;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;11000;19.5;7.19;121;5.74;1.69;0 - 0.05;0 - 0.05;0.35;0 - 0.001;0 - 0.02;0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0.08;91;14;120;9400;0 - 0.1;5600;10;1888;7.19;121;5.74;1.69;2077;7.08;171;4.36;1.37;8189;25.74;430.5;6.354;9.118;11.12;144.2;6.483;0.6497;17.06;1.535;0.8003;ISDI;ISDI+;ISDI+;Fluorures cumule  (var. L/S)!Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
011-L16-SC13-CMF-18M;3400;<0.5;11;130;0.2;21;277;17;<0.05;5.1;24;10;<1.0;37;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;25000;19;7.13;112;8.14;0.938;0 - 0.05;0 - 0.05;0.38;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;0.18;0.06;0 - 0.05;0 - 0.05;0 - 0.02;31;7;550;17000;0 - 0.1;10000;10;2580;7.13;112;8.14;0.938;2510;7.02;149;4.67;0.7;57220;23.21;405;9.468;15.78;15.06;150.8;8.2;0.473;14.5;3.338;1.586;TN+;SEMPIN;TN+;Molybdene (Mo)
012-L16-2-SC16-CMF-15M;1300;0.6;17;58;0.2;36;100;51;<0.05;<1.0;33;15;16;71;<0.050;0.069;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;4900;19.8;7.55;87;3.98;1.39;0 - 0.05;0 - 0.05;0.64;0 - 0.001;0 - 0.02;0.03;0 - 0.0003;0.1;0 - 0.05;0 - 0.05;5.4;0 - 0.02;54;12;23;4700;0 - 0.1;2200;10;862;7.55;87;3.98;1.39;1061;7.35;152;3.73;1.25;4402;53.48;463.3;12.99;49.34;86.74;54.12;13.82;0.3887;26.48;1.807;13.33;TN+;ISDD;ISDD;Selenium cumule (var. L/S)
"013-L16-504P-32;5-33;5";1100;<0.5;1.1;90;<0.1;8;174.5;4.5;<0.05;<1.0;6.2;2.9;<1.0;15;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;150000;19.7;6.52;102;5.23;1.03;0 - 0.05;0 - 0.05;0.35;0.002;0 - 0.02;0 - 0.02;0 - 0.0003;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.05;0.04;23;5;20;25000;0 - 0.1;16000;10;2470;6.52;102;5.23;1.03;2460;7.24;152;4.13;1.2;277100;3.623;519.3;2.182;5.24;3.086;0.001;1.736;0.8878;2.908;0.422;0.994;ISDI;SEMPIN;SEMPIN;Fraction soluble cumule  (var. L/S)!Sulfates cumule (var. L/S)
014-L16-2-474-30-74;6400;0.9;3.2;160;0.1;8.8;330.5;4.4;<0.05;5.7;5.2;2.1;<1.0;6.9;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MA;0;0;0;0;1;0;0;0;0 - 0.01;4000;19.5;7.43;65;4.06;0.912;0 - 0.05;0 - 0.05;0.31;0.003;0 - 0.02;0 - 0.02;0 - 0.0003;1.8;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;49;13;50;6000;0 - 0.1;3700;10;1222;7.43;65;4.06;0.912;1441;7.36;165;3.68;1.17;0.001;8.562;472.7;2.085;1.011;0.001;129.9;3.177;0.789;4.6132;2.596;0.8272;TN+;SEMPIN;TN+;Molybdene (Mo)
015-L16-2-303P-SC01-37M;3000;1.2;3.2;4.4;<0.1;3.4;12.7;1.5;<0.05;2.6;3;0.9;<1.0;5;<0.050;n.a.;n.a.;<20.0;n.a.;n.a.;MC;1;0;0;0;0;0;0;0;0 - 0.01;3100;19.4;7.64;66;7.23;1.35;0 - 0.05;0 - 0.05;0 - 0.1;0 - 0.001;0 - 0.02;0 - 0.02;0 - 0.0003;1.2;0 - 0.05;0 - 0.05;0 - 0.05;0 - 0.02;21;16;76;1700;0 - 0.1;830;10;722;7.64;66;7.23;1.35;862;7.49;140;5.47;1.42;0.001;14.16;402.1;2.21;0.5236;0.736;129.4;3.189;1.021;4.998;1.868;1.114;ISDI;ISDI+;ISDI+;Molybdene cumule (var. L/S)!Fluorures cumule  (var. L/S)
